time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2017-12-28T21:00:00.0000000Z,2017-12-28T22:00:00.0000000Z,2017-12-28T21:35:17.0000000Z,2017-12-28T21:59:58.0000000Z,2436.01,2490.0,2432.0,2457.97,88.41125724,203
2017-12-28T22:00:00.0000000Z,2017-12-28T23:00:00.0000000Z,2017-12-28T22:00:34.0000000Z,2017-12-28T22:59:08.0000000Z,2457.24,2500.0,2450.08,2465.0,169.18720089,273
2017-12-28T23:00:00.0000000Z,2017-12-29T00:00:00.0000000Z,2017-12-28T23:00:43.0000000Z,2017-12-28T23:59:06.0000000Z,2460.2,2500.0,2460.0,2498.0,156.044664239,213
2017-12-29T00:00:00.0000000Z,2017-12-29T01:00:00.0000000Z,2017-12-29T00:00:27.0000000Z,2017-12-29T00:59:06.0000000Z,2490.63,2502.0,2475.73,2486.0,76.199667867,170
2017-12-29T01:00:00.0000000Z,2017-12-29T02:00:00.0000000Z,2017-12-29T01:00:19.0000000Z,2017-12-29T01:58:00.0000000Z,2486.0,2488.89,2460.0,2471.0,129.82420913,163
2017-12-29T02:00:00.0000000Z,2017-12-29T03:00:00.0000000Z,2017-12-29T02:01:29.0000000Z,2017-12-29T02:59:59.0000000Z,2477.0,2589.98,2477.0,2574.95,582.7388921,354
2017-12-29T03:00:00.0000000Z,2017-12-29T04:00:00.0000000Z,2017-12-29T03:00:09.0000000Z,2017-12-29T03:57:48.0000000Z,2574.93,2582.0,2540.42,2557.24,285.27024649,312
2017-12-29T04:00:00.0000000Z,2017-12-29T05:00:00.0000000Z,2017-12-29T04:00:41.0000000Z,2017-12-29T04:56:36.0000000Z,2557.2,2594.51,2530.12,2540.16,169.791278279,193
2017-12-29T05:00:00.0000000Z,2017-12-29T06:00:00.0000000Z,2017-12-29T05:01:07.0000000Z,2017-12-29T05:59:54.0000000Z,2550.01,2565.59,2520.0,2540.82,169.88044436,266
2017-12-29T06:00:00.0000000Z,2017-12-29T07:00:00.0000000Z,2017-12-29T06:02:29.0000000Z,2017-12-29T06:59:28.0000000Z,2543.17,2587.65,2540.0,2540.35,132.2172599,207
2017-12-29T07:00:00.0000000Z,2017-12-29T08:00:00.0000000Z,2017-12-29T07:00:14.0000000Z,2017-12-29T07:59:16.0000000Z,2552.72,2552.96,2460.1,2488.28,213.710389405,283
2017-12-29T08:00:00.0000000Z,2017-12-29T09:00:00.0000000Z,2017-12-29T08:01:55.0000000Z,2017-12-29T08:59:56.0000000Z,2504.75,2504.75,2431.51,2460.0,214.61756796,331
2017-12-29T09:00:00.0000000Z,2017-12-29T10:00:00.0000000Z,2017-12-29T09:00:20.0000000Z,2017-12-29T09:59:58.0000000Z,2460.0,2466.01,2373.59,2382.42,212.20501889,377
2017-12-29T10:00:00.0000000Z,2017-12-29T11:00:00.0000000Z,2017-12-29T10:00:00.0000000Z,2017-12-29T10:59:59.0000000Z,2382.41,2433.57,2319.0,2320.0,491.46880748,752
2017-12-29T11:00:00.0000000Z,2017-12-29T12:00:00.0000000Z,2017-12-29T11:00:01.0000000Z,2017-12-29T11:59:57.0000000Z,2319.98,2433.85,2298.57,2420.4,1621.43296567,1396
2017-12-29T12:00:00.0000000Z,2017-12-29T13:00:00.0000000Z,2017-12-29T12:00:19.0000000Z,2017-12-29T12:58:43.0000000Z,2420.4,2434.96,2357.5,2366.0,335.499858769,737
2017-12-29T13:00:00.0000000Z,2017-12-29T14:00:00.0000000Z,2017-12-29T13:00:07.0000000Z,2017-12-29T13:59:56.0000000Z,2372.0,2455.81,2364.0,2432.03,222.05417149,468
2017-12-29T14:00:00.0000000Z,2017-12-29T15:00:00.0000000Z,2017-12-29T14:00:03.0000000Z,2017-12-29T14:58:27.0000000Z,2432.03,2475.0,2423.0,2475.0,278.18328745,397
2017-12-29T15:00:00.0000000Z,2017-12-29T16:00:00.0000000Z,2017-12-29T15:00:34.0000000Z,2017-12-29T15:59:59.0000000Z,2466.51,2895.0,2454.0,2880.0,1930.227670949,1736
2017-12-29T16:00:00.0000000Z,2017-12-29T17:00:00.0000000Z,2017-12-29T16:00:03.0000000Z,2017-12-29T16:59:31.0000000Z,2870.0,2870.0,2705.22,2780.0,1403.701298189,1937
2017-12-29T17:00:00.0000000Z,2017-12-29T18:00:00.0000000Z,2017-12-29T17:00:02.0000000Z,2017-12-29T17:59:11.0000000Z,2766.33,2780.0,2642.0,2645.0,439.196258119,728
2017-12-29T18:00:00.0000000Z,2017-12-29T19:00:00.0000000Z,2017-12-29T18:00:18.0000000Z,2017-12-29T18:59:43.0000000Z,2646.0,2724.87,2610.89,2610.89,470.62678609,647
2017-12-29T19:00:00.0000000Z,2017-12-29T20:00:00.0000000Z,2017-12-29T19:00:01.0000000Z,2017-12-29T19:59:59.0000000Z,2610.89,2716.78,2581.0,2677.0,482.996771529,827
2017-12-29T20:00:00.0000000Z,2017-12-29T21:00:00.0000000Z,2017-12-29T20:00:00.0000000Z,2017-12-29T20:59:07.0000000Z,2676.0,2691.72,2564.0,2578.97,381.195253068,886
